,Unnamed: 0,Time,month,day,hour,RCHW_Temp_V,RCHW_Temp_VS,SCHW_Temp_V,SCHW_Temp_VS,MAT_V,MAT_VS,SAT_V,SAT_VS,RAT_V,RAT_VS,Valve_CMD_V,Valve_CMD_VS,Temp_SP_V,Temp_SP_VS,VFD_Speed_CMD_V,VFD_Speed_CMD_VS
0,0,2021-07-01 12:00:00,7,1,7,7,7.0032572746276855,5,5.507413864135742,26,26.06260871887207,13,13.557923316955566,25,25.91827774047852,100,100.0,20,20.0,140,140.0
1,1,2021-07-01 12:05:00,7,1,7,7,7.012181758880615,5,5.540846824645996,26,26.07383346557617,13,13.559321403503418,25,25.90286064147949,100,100.0,20,20.0,140,140.0
2,2,2021-07-01 12:10:00,7,1,7,7,7.012181758880615,5,5.562113761901856,26,26.002290725708008,13,13.534184455871582,25,25.8201904296875,100,100.0,20,20.0,140,140.0
3,3,2021-07-01 12:15:00,7,1,7,6,6.96903657913208,5,5.569706916809082,25,25.8873291015625,13,13.40284824371338,25,25.69696998596192,100,100.0,20,20.0,140,140.0
4,4,2021-07-01 12:20:00,7,1,7,6,6.977964878082275,5,5.578819751739502,25,25.852298736572266,13,13.41123390197754,25,25.628398895263672,100,100.0,20,20.0,140,140.0
5,5,2021-07-01 12:25:00,7,1,7,6,6.937777996063232,5,5.554519176483154,25,25.80607032775879,13,13.363704681396484,25,25.59482383728028,100,100.0,20,20.0,140,140.0
6,6,2021-07-01 12:30:00,7,1,7,6,6.907996654510498,5,5.583373546600342,25,25.78226089477539,13,13.31336498260498,25,25.58782958984375,100,100.0,20,20.0,140,140.0
7,7,2021-07-01 12:35:00,7,1,7,6,6.91395378112793,5,5.565151214599609,25,25.825681686401367,13,13.39445972442627,25,25.671777725219727,100,100.0,20,20.0,140,140.0
8,8,2021-07-01 12:40:00,7,1,7,9,9.35871696472168,8,8.505457878112793,25,25.894336700439453,14,14.86012077331543,25,25.73056602478028,100,100.0,20,20.0,140,140.0
9,9,2021-07-01 12:45:00,7,1,7,10,10.682819366455078,10,10.051773071289062,26,26.05418968200684,16,16.159812927246094,25,25.893051147460938,100,100.0,20,20.0,140,140.0
10,10,2021-07-01 12:50:00,7,1,7,7,7.559031009674072,6,6.038862705230713,26,26.225446701049805,14,14.218525886535645,26,26.092185974121094,100,100.0,20,20.0,140,140.0
11,11,2021-07-01 12:55:00,7,1,7,6,6.811124324798584,5,5.399399280548096,25,25.965829849243164,13,13.437788009643556,25,25.73616600036621,100,100.0,20,20.0,140,140.0
12,12,2021-07-01 13:00:00,7,1,8,6,6.979453086853027,5,5.584892749786377,25,25.96723175048828,13,13.546751976013184,25,25.8201904296875,100,100.0,20,20.0,140,140.0
13,13,2021-07-01 13:05:00,7,1,8,6,6.909485816955566,5,5.552999496459961,25,25.93218421936035,13,13.43219757080078,25,25.71376609802246,100,100.0,20,20.0,140,140.0
14,14,2021-07-01 13:10:00,7,1,8,6,6.900549411773682,5,5.562113761901856,25,25.87331771850586,13,13.38467502593994,25,25.67317771911621,100,100.0,20,20.0,140,140.0
15,15,2021-07-01 13:15:00,7,1,8,6,6.903528213500977,5,5.563632488250732,25,25.836889266967773,13,13.377686500549316,25,25.633995056152344,100,100.0,20,20.0,140,140.0
16,16,2021-07-01 13:20:00,7,1,8,6,6.95117712020874,5,5.603109359741211,25,25.860708236694336,13,13.436391830444336,25,25.715166091918945,100,100.0,20,20.0,140,140.0
17,17,2021-07-01 13:25:00,7,1,8,6,6.890122890472412,5,5.548443794250488,25,25.846694946289062,13,13.355316162109377,25,25.62979888916016,100,100.0,20,20.0,140,140.0
18,18,2021-07-01 13:30:00,7,1,8,6,6.887142658233643,5,5.557557106018066,25,25.79906845092773,13,13.3329439163208,25,25.58363342285156,100,100.0,20,20.0,140,140.0
19,19,2021-07-01 13:35:00,7,1,8,6,6.93331241607666,5,5.559075355529785,25,25.82848358154297,13,13.43079948425293,25,25.69556999206543,100,100.0,20,20.0,140,140.0
20,20,2021-07-01 13:40:00,7,1,8,6,6.9675493240356445,5,5.569706916809082,25,25.83828926086425,13,13.48948574066162,25,25.70256996154785,100,100.0,20,20.0,140,140.0
21,21,2021-07-01 13:45:00,7,1,8,6,6.91395378112793,5,5.5469231605529785,25,25.818675994873047,13,13.4070405960083,25,25.606014251708984,100,100.0,20,20.0,140,140.0
22,22,2021-07-01 13:50:00,7,1,8,6,6.931823253631592,5,5.545403957366943,25,25.849498748779297,13,13.458746910095217,25,25.65498352050781,100,100.0,20,20.0,140,140.0
23,23,2021-07-01 13:55:00,7,1,8,6,6.958619117736816,5,5.549962520599365,25,25.85089874267578,13,13.47970485687256,25,25.74456596374512,100,100.0,20,20.0,140,140.0
24,24,2021-07-01 14:00:00,7,1,9,6,6.948198795318604,5,5.580338001251221,25,25.778059005737305,13,13.43079948425293,25,25.57244300842285,100,100.0,20,20.0,140,140.0
25,25,2021-07-01 14:05:00,7,1,9,6,6.9868927001953125,5,5.559075355529785,25,25.87331771850586,13,13.54954433441162,25,25.73336601257324,100,100.0,20,20.0,140,140.0
26,26,2021-07-01 14:10:00,7,1,9,7,7.033000946044922,5,5.630425930023193,25,25.88312530517578,13,13.566303253173828,25,25.684371948242188,100,100.0,20,20.0,140,140.0
27,27,2021-07-01 14:15:00,7,1,9,6,6.943734645843506,5,5.556038856506348,25,25.84529495239257,13,13.464338302612305,25,25.62700080871582,100,100.0,20,20.0,140,140.0
28,28,2021-07-01 14:20:00,7,1,9,6,6.949687957763672,5,5.5681891441345215,25,25.81167221069336,13,13.45595359802246,25,25.57104682922364,100,100.0,20,20.0,140,140.0
29,29,2021-07-01 14:25:00,7,1,9,6,6.945223331451416,5,5.534769535064697,25,25.820077896118164,13,13.496471405029297,25,25.650785446166992,100,100.0,20,20.0,140,140.0
30,30,2021-07-01 14:30:00,7,1,9,7,7.0092058181762695,5,5.603109359741211,25,25.855100631713867,13,13.56211280822754,25,25.67737579345703,100,100.0,20,20.0,140,140.0
31,31,2021-07-01 14:35:00,7,1,9,7,7.025566577911377,5,5.562113761901856,25,25.965829849243164,13,13.637499809265137,25,25.84961128234864,100,100.0,20,20.0,140,140.0
32,32,2021-07-01 14:40:00,7,1,9,7,7.0032572746276855,5,5.59096622467041,25,25.8873291015625,13,13.553733825683594,25,25.720766067504883,100,100.0,20,20.0,140,140.0
33,33,2021-07-01 14:45:00,7,1,9,6,6.980940818786621,5,5.586410045623779,25,25.82848358154297,13,13.490882873535156,25,25.635395050048828,100,100.0,20,20.0,140,140.0
34,34,2021-07-01 14:50:00,7,1,9,6,6.99433183670044,5,5.598555088043213,25,25.842493057250977,13,13.518818855285645,25,25.6619815826416,100,100.0,20,20.0,140,140.0
35,35,2021-07-01 14:55:00,7,1,9,6,6.955641746520996,5,5.519572734832764,25,25.82287979125977,13,13.507644653320312,25,25.701169967651367,100,100.0,20,20.0,140,140.0
36,36,2021-07-01 15:00:00,7,1,10,6,6.997307300567627,5,5.60007381439209,25,25.842493057250977,13,13.531389236450195,25,25.62700080871582,100,100.0,20,20.0,140,140.0
37,37,2021-07-01 15:05:00,7,1,10,7,7.024078369140625,5,5.584892749786377,25,25.890134811401367,13,13.59143352508545,25,25.787975311279297,100,100.0,20,20.0,140,140.0
38,38,2021-07-01 15:10:00,7,1,10,7,7.001769065856934,5,5.571226119995117,25,25.930782318115234,13,13.57886791229248,25,25.750167846679688,100,100.0,20,20.0,140,140.0
39,39,2021-07-01 15:15:00,7,1,10,6,6.964571952819824,5,5.5681891441345215,25,25.87611961364746,13,13.490882873535156,25,25.68157386779785,100,100.0,20,20.0,140,140.0
40,40,2021-07-01 15:20:00,7,1,10,7,7.010694980621338,5,5.594001770019531,25,25.95040702819824,13,13.555131912231444,25,25.801982879638672,100,100.0,20,20.0,140,140.0
41,41,2021-07-01 15:25:00,7,1,10,6,6.9868927001953125,5,5.557557106018066,25,25.927976608276367,13,13.529993057250977,25,25.801982879638672,100,100.0,20,20.0,140,140.0
42,42,2021-07-01 15:30:00,7,1,10,7,7.053813934326172,5,5.621322154998779,25,25.96723175048828,13,13.615167617797852,25,25.82439422607422,100,100.0,20,20.0,140,140.0
43,43,2021-07-01 15:35:00,7,1,10,6,6.992844581604004,5,5.5393266677856445,25,25.98546028137207,13,13.570491790771484,25,25.88323974609375,100,100.0,20,20.0,140,140.0
44,44,2021-07-01 15:40:00,7,1,10,6,6.99433183670044,5,5.587929248809815,25,25.930782318115234,13,13.528597831726074,25,25.77117156982422,100,100.0,20,20.0,140,140.0
45,45,2021-07-01 15:45:00,7,1,10,6,6.939267635345459,5,5.589446544647217,25,25.831283569335938,13,13.391666412353516,25,25.6018180847168,100,100.0,20,20.0,140,140.0
46,46,2021-07-01 15:50:00,7,1,10,7,7.035975456237793,5,5.607663154602051,25,25.99948501586914,13,13.595623016357422,25,25.866424560546875,100,100.0,20,20.0,140,140.0
47,47,2021-07-01 15:55:00,7,1,10,6,6.943734645843506,5,5.552999496459961,25,25.881725311279297,13,13.451760292053224,25,25.68017578125,100,100.0,20,20.0,140,140.0
48,48,2021-07-01 16:00:00,7,1,11,6,6.915443420410156,5,5.545403957366943,25,25.871915817260746,13,13.395858764648438,25,25.65218734741211,100,100.0,20,20.0,140,140.0
49,49,2021-07-01 16:10:00,7,1,11,10,10.899490356445312,10,10.246892929077148,26,26.2619686126709,16,16.32114028930664,26,26.20448875427246,100,100.0,20,20.0,140,140.0
50,50,2021-07-01 16:15:00,7,1,11,9,9.493090629577637,8,8.39293384552002,26,26.38284111022949,15,15.65871238708496,26,26.194658279418945,100,100.0,20,20.0,140,140.0
51,51,2021-07-01 16:20:00,7,1,11,7,7.15334415435791,5,5.671380519866943,26,26.350505828857425,13,13.959602355957031,26,26.159557342529297,100,100.0,20,20.0,140,140.0
52,52,2021-07-01 16:25:00,7,1,11,7,7.19193172454834,5,5.757758617401123,26,26.16927528381348,13,13.84115219116211,26,26.04167556762696,100,100.0,20,20.0,140,140.0
53,53,2021-07-01 16:30:00,7,1,11,7,7.291280746459961,5,5.8031768798828125,26,26.209997177124023,13,13.937313079833984,26,26.10200881958008,100,100.0,20,20.0,140,140.0
54,54,2021-07-01 16:35:00,7,1,11,7,7.184513092041016,5,5.6895751953125,26,26.156639099121094,13,13.836970329284668,26,26.05430221557617,100,100.0,20,20.0,140,140.0
55,55,2021-07-01 16:40:00,7,1,11,7,7.077593803405762,5,5.645596981048584,26,26.07523536682129,13,13.673783302307127,25,25.8440055847168,100,100.0,20,20.0,140,140.0
56,56,2021-07-01 16:45:00,7,1,11,7,7.047868251800537,5,5.610698699951172,26,26.047176361083984,13,13.644478797912598,25,25.85381317138672,100,100.0,20,20.0,140,140.0
57,57,2021-07-01 16:50:00,7,1,11,6,6.979453086853027,5,5.51805305480957,26,26.08786392211914,13,13.619354248046877,25,25.936500549316406,100,100.0,20,20.0,140,140.0
58,58,2021-07-01 16:55:00,7,1,11,6,6.952664375305176,5,5.556038856506348,25,25.89854431152344,13,13.495072364807127,25,25.705368041992188,100,100.0,20,20.0,140,140.0
59,59,2021-07-01 17:00:00,7,1,12,7,7.0151567459106445,5,5.594001770019531,25,25.971439361572266,13,13.5928316116333,25,25.83980369567871,100,100.0,20,20.0,140,140.0
60,60,2021-07-01 17:05:00,7,1,12,7,7.055301189422607,5,5.631943702697754,25,25.978450775146484,13,13.619354248046877,25,25.828598022460938,100,100.0,20,20.0,140,140.0
61,61,2021-07-01 17:10:00,7,1,12,7,7.086509704589844,5,5.586410045623779,26,26.17910385131836,13,13.756093978881836,26,26.09920120239257,100,100.0,20,20.0,140,140.0
62,62,2021-07-01 17:15:00,7,1,12,6,6.848397254943848,5,5.400921821594238,26,26.11452865600586,13,13.559321403503418,26,26.00240135192871,100,100.0,20,20.0,140,140.0
63,63,2021-07-01 17:20:00,7,1,12,8,8.520562171936035,7,7.223505973815918,26,26.27742576599121,14,14.7255859375,26,26.23398208618164,100,100.0,20,20.0,140,140.0
64,64,2021-07-01 17:25:00,7,1,12,7,7.142951965332031,7,7.804459571838379,25,25.9798526763916,14,14.683959007263184,26,26.634849548339844,0,0.0,20,20.0,140,140.0
65,65,2021-07-01 17:30:00,7,1,12,8,8.187134742736816,8,8.699470520019531,22,22.49625587463379,15,15.483171463012695,28,28.33896446228028,0,0.0,20,20.0,140,140.0
66,66,2021-07-01 17:35:00,7,1,12,8,8.473844528198242,8,8.933751106262207,21,21.070837020874023,16,16.26737403869629,29,29.06512451171875,0,0.0,20,20.0,140,140.0
67,67,2021-07-01 17:40:00,7,1,12,8,8.70572566986084,9,9.164520263671877,19,19.56123733520508,17,17.15274429321289,29,29.272254943847656,0,0.0,20,20.0,140,140.0
68,68,2021-07-01 17:45:00,7,1,12,8,8.96168327331543,9,9.351318359375,18,18.97694969177246,17,17.88113021850586,29,29.21611595153809,0,0.0,20,20.0,140,140.0
69,69,2021-07-01 17:50:00,7,1,12,9,9.192288398742676,9,9.54062843322754,18,18.790401458740234,18,18.54694366455078,29,29.41777610778809,0,0.0,20,20.0,140,140.0
70,70,2021-07-01 17:55:00,7,1,12,9,9.426651000976562,9,9.731002807617188,18,18.90151023864746,19,19.17259788513184,29,29.39470863342285,0,0.0,20,20.0,140,140.0
71,71,2021-07-01 18:00:00,7,1,13,9,9.63736343383789,9,9.906620025634766,19,19.22383499145508,19,19.781709671020508,29,29.93960189819336,0,0.0,20,20.0,140,140.0
72,72,2021-07-01 18:05:00,7,1,13,9,9.867752075195312,10,10.086234092712402,19,19.59827041625977,20,20.34980583190918,30,30.35351181030273,0,0.0,20,20.0,140,140.0
73,73,2021-07-01 18:10:00,7,1,13,10,10.094733238220217,10,10.259793281555176,19,19.76835250854492,20,20.87564849853516,30,30.06721878051757,0,0.0,20,20.0,140,140.0
74,74,2021-07-01 18:15:00,7,1,13,10,10.31977367401123,10,10.428767204284668,20,20.19088363647461,21,21.33730697631836,30,30.208080291748047,0,0.0,20,20.0,140,140.0
75,75,2021-07-01 18:20:00,7,1,13,10,10.54575252532959,10,10.617465019226074,20,20.63141822814941,21,21.76499938964844,30,30.553112030029297,0,0.0,20,20.0,140,140.0
76,76,2021-07-02 06:05:00,7,2,1,24,24.48758316040039,23,23.13666534423828,27,27.89433479309082,29,29.66455268859864,30,30.164493560791016,0,0.0,20,20.0,140,140.0
77,77,2021-07-02 06:10:00,7,2,1,24,24.543193817138672,23,23.16430282592773,27,27.90144920349121,29,29.679004669189453,30,30.15142059326172,0,0.0,20,20.0,140,140.0
78,78,2021-07-02 06:15:00,7,2,1,17,17.527790069580078,17,17.461240768432617,29,29.791973114013672,22,22.18211555480957,29,29.74703788757324,100,100.0,20,20.0,140,140.0
79,79,2021-07-02 06:20:00,7,2,1,9,9.715182304382324,8,8.130767822265625,29,29.02491569519043,16,16.555397033691406,28,28.832578659057617,100,100.0,20,20.0,140,140.0
80,80,2021-07-02 06:25:00,7,2,1,7,7.306097984313965,5,5.5469231605529785,28,28.13923072814941,14,14.295019149780272,27,27.92710304260254,100,100.0,20,20.0,140,140.0
81,81,2021-07-02 06:30:00,7,2,1,7,7.184513092041016,5,5.612216949462891,27,27.441444396972656,13,13.807692527770996,27,27.257429122924805,100,100.0,20,20.0,140,140.0
82,82,2021-07-02 06:35:00,7,2,1,7,7.050841808319092,5,5.574263572692871,26,26.976045608520508,13,13.506247520446776,26,26.847700119018555,100,100.0,20,20.0,100,100.0
83,83,2021-07-02 06:40:00,7,2,1,6,6.958619117736816,5,5.5605950355529785,26,26.63897705078125,13,13.288189888000488,26,26.498289108276367,100,100.0,20,20.0,100,100.0
84,84,2021-07-02 06:45:00,7,2,1,6,6.897570610046387,5,5.5605950355529785,26,26.374406814575195,13,13.124444007873535,26,26.252243041992188,100,100.0,20,20.0,100,100.0
85,85,2021-07-02 06:50:00,7,2,1,6,6.848397254943848,5,5.556038856506348,26,26.17770004272461,12,12.998363494873049,26,26.073944091796875,100,100.0,20,20.0,100,100.0
86,86,2021-07-02 06:55:00,7,2,1,6,6.797700881958008,5,5.5393266677856445,25,25.98966789245605,12,12.903034210205078,25,25.894451141357425,100,100.0,20,20.0,100,100.0
87,87,2021-07-02 07:00:00,7,2,2,6,6.77979850769043,5,5.533249855041504,25,25.86911392211914,12,12.844120979309082,25,25.794979095458984,100,100.0,20,20.0,100,100.0
88,88,2021-07-02 07:05:00,7,2,2,6,6.748461246490479,5,5.527172088623047,25,25.743051528930664,12,12.77816677093506,25,25.6619815826416,100,100.0,20,20.0,100,100.0
89,89,2021-07-02 07:10:00,7,2,2,6,6.748461246490479,5,5.527172088623047,25,25.653470993041992,12,12.751495361328123,25,25.59762191772461,100,100.0,20,20.0,100,100.0
90,90,2021-07-02 07:15:00,7,2,2,6,6.727560520172119,5,5.519572734832764,25,25.594709396362305,12,12.719202995300291,25,25.531888961791992,100,100.0,20,20.0,100,100.0
91,91,2021-07-02 07:20:00,7,2,2,6,6.726067543029785,5,5.522612571716309,25,25.526180267333984,12,12.696735382080078,25,25.45919418334961,100,100.0,20,20.0,100,100.0
92,92,2021-07-02 07:25:00,7,2,2,6,6.712630271911621,5,5.5241312980651855,25,25.488433837890625,12,12.670049667358398,25,25.42006492614746,100,100.0,20,20.0,140,140.0
93,93,2021-07-02 07:30:00,7,2,2,6,6.702174186706543,5,5.513493061065674,25,25.45768165588379,12,12.660216331481934,25,25.339040756225582,100,100.0,20,20.0,140,140.0
94,94,2021-07-02 07:35:00,7,2,2,6,6.68723726272583,5,5.501333236694336,25,25.34311485290528,12,12.64476203918457,25,25.234325408935547,100,100.0,20,20.0,140,140.0
95,95,2021-07-02 07:40:00,7,2,2,7,7.7154130935668945,6,6.797934532165527,25,25.371049880981445,13,13.22103214263916,25,25.258054733276367,100,100.0,20,20.0,140,140.0
96,96,2021-07-02 07:45:00,7,2,2,7,7.771397590637207,6,6.717308044433594,25,25.41436195373535,13,13.47551441192627,25,25.316696166992188,100,100.0,20,20.0,140,140.0
97,97,2021-07-02 07:50:00,7,2,2,6,6.711136341094971,5,5.470921516418457,25,25.404579162597656,12,12.743072509765623,25,25.274805068969727,100,100.0,20,20.0,140,140.0
98,98,2021-07-02 07:55:00,7,2,2,6,6.787258148193359,5,5.562113761901856,25,25.382225036621094,12,12.79922103881836,25,25.304128646850582,100,100.0,20,20.0,140,140.0
99,99,2021-07-02 08:00:00,7,2,3,6,6.743982315063477,5,5.5241312980651855,25,25.365461349487305,12,12.74868869781494,25,25.23292732238769,100,100.0,20,20.0,140,140.0
100,100,2021-07-02 08:05:00,7,2,3,6,6.739504337310791,5,5.508932590484619,25,25.357080459594727,12,12.750092506408691,25,25.23990821838379,100,100.0,20,20.0,140,140.0
101,101,2021-07-02 08:10:00,7,2,3,6,6.729053974151611,5,5.508932590484619,25,25.34730339050293,12,12.731842041015623,25,25.221763610839844,100,100.0,20,20.0,140,140.0
102,102,2021-07-02 08:15:00,7,2,3,6,6.736518383026123,5,5.515012264251709,25,25.308198928833008,12,12.751495361328123,25,25.177106857299805,100,100.0,20,20.0,140,140.0
103,103,2021-07-02 08:20:00,7,2,3,6,6.742489814758301,5,5.511973857879639,25,25.33473396301269,12,12.766939163208008,25,25.2036190032959,100,100.0,20,20.0,140,140.0
104,104,2021-07-02 08:25:00,7,2,3,6,6.7469682693481445,5,5.507413864135742,25,25.323562622070312,12,12.782378196716309,25,25.2036190032959,100,100.0,20,20.0,140,140.0
105,105,2021-07-02 08:30:00,7,2,3,6,6.77979850769043,5,5.515012264251709,25,25.34870147705078,12,12.844120979309082,25,25.24688720703125,100,100.0,20,20.0,140,140.0
106,106,2021-07-02 08:35:00,7,2,3,6,6.784274101257324,5,5.49981164932251,25,25.41156578063965,12,12.881997108459473,25,25.291561126708984,100,100.0,20,20.0,140,140.0
107,107,2021-07-02 08:40:00,7,2,3,6,6.7857666015625,5,5.510453224182129,25,25.380828857421875,12,12.886202812194824,25,25.228740692138672,100,100.0,20,20.0,140,140.0
108,108,2021-07-02 08:45:00,7,2,3,6,6.83349084854126,5,5.522612571716309,25,25.48563575744629,12,12.984349250793455,25,25.376754760742188,100,100.0,20,20.0,140,140.0
109,109,2021-07-02 08:50:00,7,2,3,7,7.288317203521728,5,5.952839374542236,25,25.5219841003418,13,13.309168815612791,25,25.41727066040039,100,100.0,20,20.0,140,140.0
110,110,2021-07-02 08:55:00,7,2,3,6,6.90501880645752,5,5.469400882720947,25,25.55974197387696,13,13.08383083343506,25,25.461990356445312,100,100.0,20,20.0,140,140.0
111,111,2021-07-02 09:00:00,7,2,4,6,6.952664375305176,5,5.563632488250732,25,25.519189834594727,13,13.065619468688965,25,25.347421646118164,100,100.0,20,20.0,140,140.0
112,112,2021-07-02 09:05:00,7,2,4,6,6.931823253631592,5,5.521092891693115,25,25.54295921325684,13,13.085229873657228,25,25.38094520568848,100,100.0,20,20.0,140,140.0
113,113,2021-07-02 09:10:00,7,2,4,6,6.8126139640808105,5,5.548443794250488,25,25.624086380004883,13,13.121644020080566,25,25.516508102416992,100,100.0,20,20.0,140,140.0
114,114,2021-07-02 09:15:00,7,2,4,6,6.755923271179199,5,5.492209911346436,25,25.72065162658692,13,13.156646728515623,25,25.62700080871582,100,100.0,20,20.0,140,140.0
115,115,2021-07-02 09:20:00,7,2,4,6,6.757415294647217,5,5.510453224182129,25,25.685657501220703,13,13.148247718811035,25,25.57244300842285,100,100.0,20,20.0,140,140.0
116,116,2021-07-02 09:25:00,7,2,4,6,6.803667068481445,5,5.534769535064697,25,25.719253540039062,13,13.219635009765623,25,25.64378929138184,100,100.0,20,20.0,140,140.0
117,117,2021-07-02 09:30:00,7,2,4,6,6.81410551071167,5,5.536288738250732,25,25.800466537475582,13,13.271403312683104,25,25.710968017578125,100,100.0,20,20.0,140,140.0
118,118,2021-07-02 09:35:00,7,2,4,6,6.849888324737549,5,5.545403957366943,25,25.842493057250977,13,13.32175636291504,25,25.77397346496582,100,100.0,20,20.0,140,140.0
119,119,2021-07-02 09:40:00,7,2,4,6,6.770846843719482,5,5.540846824645996,25,25.506607055664062,13,13.153846740722656,25,25.43683433532715,100,100.0,20,20.0,140,140.0
120,120,2021-07-02 09:45:00,7,2,4,6,6.794717311859131,5,5.571226119995117,25,25.53876495361328,13,13.134244918823242,25,25.47456932067871,100,100.0,20,20.0,140,140.0
121,121,2021-07-02 09:50:00,7,2,4,6,6.830507755279541,5,5.551480293273926,25,25.7010555267334,13,13.243420600891112,25,25.63259696960449,100,100.0,20,20.0,140,140.0
122,122,2021-07-02 09:55:00,7,2,4,6,6.8126139640808105,5,5.557557106018066,25,25.694055557250977,13,13.19304084777832,25,25.566850662231445,100,100.0,20,20.0,140,140.0
123,123,2021-07-02 10:00:00,7,2,5,6,6.8349809646606445,5,5.552999496459961,25,25.72905158996582,13,13.24481964111328,25,25.614410400390625,100,100.0,20,20.0,140,140.0
124,124,2021-07-02 10:05:00,7,2,5,6,6.903528213500977,5,5.557557106018066,25,25.82708168029785,13,13.39445972442627,25,25.76837158203125,100,100.0,20,20.0,140,140.0
125,125,2021-07-02 10:10:00,7,2,5,6,6.903528213500977,5,5.545403957366943,25,25.831283569335938,13,13.4070405960083,25,25.772573471069336,100,100.0,20,20.0,140,140.0
126,126,2021-07-02 10:15:00,7,2,5,6,6.882672309875488,5,5.565151214599609,25,25.764055252075195,13,13.349723815917969,25,25.64378929138184,100,100.0,20,20.0,140,140.0
127,127,2021-07-02 10:30:00,7,2,5,7,7.800848960876465,6,6.444904327392578,26,26.02052116394043,14,14.364529609680176,25,25.99398803710937,100,100.0,20,20.0,140,140.0
128,128,2021-07-02 10:35:00,7,2,5,6,6.797700881958008,5,5.3384690284729,25,25.89153480529785,13,13.520216941833496,25,25.775373458862305,100,100.0,20,20.0,140,140.0
129,129,2021-07-02 10:40:00,7,2,5,6,6.815597534179688,5,5.487649917602539,25,25.552749633789062,13,13.320358276367188,25,25.461990356445312,100,100.0,20,20.0,140,140.0
130,130,2021-07-02 10:45:00,7,2,5,6,6.805157661437988,5,5.540846824645996,25,25.50381088256836,13,13.207037925720217,25,25.40609359741211,100,100.0,20,20.0,140,140.0
131,131,2021-07-02 10:50:00,7,2,5,6,6.808139801025391,5,5.551480293273926,25,25.580718994140625,13,13.181844711303713,25,25.432641983032227,100,100.0,20,20.0,140,140.0
132,132,2021-07-02 10:55:00,7,2,5,6,6.954154014587402,5,5.622839450836182,25,25.70245361328125,13,13.418222427368164,25,25.62700080871582,100,100.0,20,20.0,140,140.0
133,133,2021-07-02 11:00:00,7,2,6,6,6.8916120529174805,5,5.543885231018066,25,25.7010555267334,13,13.372095108032228,25,25.599021911621094,100,100.0,20,20.0,140,140.0
